iter	MultiClass
0	4.605454776
1	4.57568781
2	4.543227798
3	4.510624008
4	4.465555848
5	4.409967175
6	4.376550793
7	4.349516249
8	4.32302223
9	4.287333437
10	4.256720605
11	4.230324082
12	4.202552958
13	4.173579257
14	4.144459415
15	4.119184307
16	4.085171013
17	4.054237797
18	4.029772868
19	4.003377082
20	3.975995393
21	3.951231964
22	3.925504005
23	3.897420267
24	3.873140363
25	3.844806703
26	3.820282647
27	3.795177681
28	3.773164034
29	3.74887644
30	3.724293917
31	3.699252528
32	3.676948965
33	3.652416736
34	3.631275407
35	3.609824069
36	3.588223676
37	3.568254597
38	3.544802368
39	3.524052738
40	3.504439508
41	3.485332976
42	3.466370533
43	3.446362217
44	3.427968573
45	3.408314238
46	3.389104196
47	3.36844519
48	3.350837136
49	3.331840105
50	3.316220841
51	3.298462573
52	3.280310484
53	3.262688676
54	3.246483652
55	3.22923519
56	3.211408532
57	3.194126856
58	3.177518385
59	3.159237271
60	3.141980363
61	3.124266779
62	3.107313502
63	3.090289353
64	3.072652949
65	3.057027419
66	3.041189846
67	3.025871532
68	3.010637329
69	2.996092161
70	2.981809446
71	2.966675799
72	2.95048352
73	2.9348746
74	2.920535836
75	2.905447444
76	2.890282735
77	2.874150715
78	2.858635333
79	2.843698194
80	2.82869643
81	2.81599894
82	2.800665302
83	2.786675948
84	2.771231272
85	2.756819748
86	2.744260335
87	2.73005256
88	2.715559902
89	2.700988008
90	2.686295779
91	2.671856017
92	2.659670701
93	2.645661247
94	2.632497703
95	2.620512365
96	2.607327082
97	2.593814812
98	2.580006224
99	2.567340185
100	2.554002114
101	2.542228731
102	2.529032826
103	2.515985907
104	2.503026815
105	2.491156281
106	2.48138948
107	2.470017663
108	2.457778691
109	2.448967867
110	2.436726627
111	2.425416614
112	2.413481686
113	2.400764602
114	2.388730471
115	2.377917469
116	2.365110846
117	2.352988768
118	2.341600674
119	2.332305107
120	2.323009324
121	2.312034757
122	2.301095506
123	2.290353631
124	2.278895575
125	2.270923898
126	2.260096286
127	2.249738143
128	2.238780903
129	2.228235134
130	2.216982002
131	2.206775948
132	2.197554886
133	2.188096743
134	2.177352514
135	2.167459465
136	2.158382778
137	2.149733753
138	2.139467753
139	2.129871888
140	2.123574525
141	2.114035728
142	2.103584901
143	2.094264821
144	2.086230394
145	2.076527453
146	2.066777371
147	2.05674933
148	2.049764783
149	2.042716983
150	2.033220808
151	2.02430413
152	2.015187556
153	2.006513359
154	1.99827415
155	1.990274045
156	1.98312536
157	1.975030928
158	1.966343161
159	1.956425247
160	1.947800553
161	1.940837266
162	1.933167924
163	1.924385715
164	1.916754571
165	1.910019678
166	1.902362417
