iter	Passed	Remaining
0	64	64604
1	119	59745
2	174	57927
3	232	58006
4	261	51955
5	267	44340
6	296	42007
7	360	44643
8	414	45602
9	446	44246
10	514	46271
11	588	48477
12	651	49500
13	721	50812
14	781	51298
15	844	51941
16	866	50096
17	928	50640
18	1003	51819
19	1071	52499
20	1135	52950
21	1207	53670
22	1292	54887
23	1376	55986
24	1455	56766
25	1494	56004
26	1575	56780
27	1652	57364
28	1734	58074
29	1802	58292
30	1867	58371
31	1928	58345
32	1991	58366
33	2054	58377
34	2123	58554
35	2189	58616
36	2257	58763
37	2323	58817
38	2389	58882
39	2453	58876
40	2522	59011
41	2596	59218
42	2692	59919
43	2783	60469
44	2810	59646
45	2894	60037
46	2977	60365
47	3052	60539
48	3129	60742
49	3209	60983
50	3232	60152
51	3304	60239
52	3370	60229
53	3453	60507
54	3541	60857
55	3628	61159
56	3738	61842
57	3837	62325
58	3935	62763
59	4015	62909
60	4103	63166
61	4193	63444
62	4276	63607
63	4373	63962
64	4454	64077
65	4536	64192
66	4607	64163
67	4691	64304
68	4754	64150
69	4791	63657
70	4859	63582
71	4929	63540
72	4998	63468
73	5064	63379
74	5134	63325
75	5202	63246
76	5271	63193
77	5339	63119
78	5405	63022
79	5472	62928
80	5540	62861
81	5603	62733
82	5679	62753
83	5748	62683
84	5816	62608
85	5889	62589
86	5957	62519
87	6036	62559
88	6130	62752
89	6213	62825
90	6301	62949
91	6391	63082
92	6459	62996
93	6528	62919
94	6611	62987
95	6701	63109
96	6768	63006
97	6852	63073
98	6933	63099
99	7015	63140
100	7090	63112
101	7165	63086
102	7235	63014
103	7308	62969
104	7381	62914
105	7454	62867
106	7533	62870
107	7608	62842
108	7717	63087
109	7792	63052
110	7874	63070
111	7957	63091
112	8039	63102
113	8135	63232
114	8220	63263
115	8296	63226
116	8370	63170
117	8445	63129
118	8522	63095
119	8594	63025
120	8676	63029
121	8747	62952
122	8824	62920
123	8909	62941
124	8987	62909
125	9058	62833
126	9148	62886
127	9228	62869
128	9304	62825
129	9386	62815
130	9458	62743
131	9531	62677
132	9602	62594
133	9686	62603
134	9776	62644
135	9855	62611
136	9945	62648
137	10025	62622
138	10104	62588
139	10189	62590
140	10231	62332
141	10312	62311
142	10394	62296
143	10475	62268
144	10543	62172
145	10617	62102
146	10704	62114
147	10783	62077
148	10852	61980
149	10931	61946
150	11005	61880
151	11076	61797
152	11145	61700
153	11209	61577
154	11278	61487
155	11342	61366
156	11409	61261
157	11476	61159
